Advertiser,Committee ID,Supported Candidates,Support Method,Grand Total,Race Type
NRDC Action Fund,,,,46160.25,House
Southern Utah Wilderness Alliance,,,,43975.05,Downballot
Delaware Healthcare Association,,,,42490.84,Downballot
PA State Education Association,,,,41816.71,Downballot
Florida House Republican Campaign Committee,,,,40712.42,Downballot
American Conservative Values Action Fund GA,,,,40332.53,Downballot
Clean Power Alliance,,,,40303.29,Downballot
Forward Action Fund/Affordable PA,,,,39679.9,House
Equality PAC,C00550970,,,38749.97,House
Americans for Prosperity Action,,,,35955.92,Downballot
Hospital and HealthSystem Association of PA,,,,34538.42,Downballot
Clean Energy Buyers Association,,,,34024.0,Governor
Stronger Illinois PAC,C00931048,,,33700.03,House
Central Valley Taxpayers Association,,,,33556.51,Downballot
Raise the Bar PAC,,,,33311.99,House
Electronic Transactions Association,,,,33193.9,Downballot
Defending Our Values PAC,C00928390,,,33186.43,House
Republican Party of Pennsylvania,,,,32400.13,Downballot
Project 2026 PAC,,,,32348.44,Senate
California Association of Realtors,,,,31865.85,Downballot
American Affordability Alliance,,,,31504.23,Downballot
Texas Majority PAC,,,,30800.0,Downballot
National Association of Realtors,C70002563,,,30258.97,Senate
Oregon Realtors PAC,,,,29906.03,Downballot
Black Voters Matter Fund,C90017385,,,29573.6,Downballot
National Association Against IGaming,,,,29163.96,Downballot
Virginia Promise in Action,,,,28097.65,Downballot
Texas Oil and Gas Association,,,,28085.78,Downballot
Fellowship PAC,C00915181,,,27830.920000000002,Senate
The Association of Mature American Citizens,,,,26721.31,Downballot
Southwest Florida First PAC,C00906305,,,25880.97,House
7th Amendment PAC,,,,25623.08,Downballot
Neighborhood Energy and Freedom Alliance,,,,25568.83,Downballot
National Infusion Center Association,,,,25292.45,Downballot
Connecticut Education Association (CEA),,,,25250.33,Downballot
Consumer Energy Alliance,,,,25009.48,Downballot
Western Growers Association,,,,24050.02,Downballot
America Great Pac,C00705384,,,23664.69,Senate
Maryland Retailers Alliance,,,,23485.35,Downballot
Committee to Expand the Middle Class,,,,22949.01,Downballot
Realtors PAC,,,,22705.69,Downballot
American Health Care Association,,,,22592.69,Downballot
American Property Casualty Insurance Association (APSIA),,,,22493.03,Downballot
Democratic Governors Association (DGA),,,,22424.47,Downballot
Tobacco Free Kids Action Fund,,,,22317.54,House
National Association of Realtors,C70002563,,,21843.2,Downballot
Planned Parenthood Action Fund,C70004148,,,21813.38,Downballot
Utah Democratic Party,,,,21627.42,Downballot
Texas Freedom Alliance,,,,21489.13,Downballot
Peoples Action Power,C00738237,,,21461.93,House
"Dirk Padgett, Chairman Botetourt County Republican Party",,,,20799.309999999998,Downballot
St. Pete Energy Alliance,,,,20581.89,Downballot
Independent Community of Bankers of America PAC,,,,19995.01,Downballot
Texas Conservative Majority PAC,,,,19652.92,Downballot
Bouchard for Harris County Republican Party Chair,,,,19140.06,Downballot
American Energy Action,,,,18866.83,House
Equality Florida Action,C90020041,,,18514.65,Downballot
Gun Violence Prevention PAC,,,,18468.31,Downballot
California Apartment Association,,,,17714.97,Downballot
Republican State Leadership Committee,C30002067,,,17430.1,Downballot
American Property Owners Alliance,,,,17416.28,Downballot
Alliance for Michigan Power,,,,17181.09,Downballot
Welcome PAC,C00786830,,,17101.0,House
INCS Action Independent Committee,,,,16843.26,Downballot
Problem Solvers Action Fund,,,,16830.94,Downballot
Virginia Education Association,,,,16710.05,Downballot
For Michigan Action Fund,C00886093,,,16669.58,Downballot
Howard Jarvis Taxpayers Association,,,,16600.08,Downballot
Mountaineer Leadership Fund,,,,16386.75,Downballot
Restore Sanity PAC,,,,16111.97,Governor
American Autoimmune Related Disease Association,,,,15998.92,Downballot
"FRSCC 3 PAC (Tomkow, Boyd, DiCeglie)",,,,15763.02,Downballot
J Street Action/Congressional Progressive Caucus PAC,,,,15400.0,House
National Association for Gun Rights,,,,15240.54,Downballot
Mass Opportunity Alliance,,,,15059.11,Downballot
Defend Rural Texas PAC,,,,14789.529999999999,Downballot
Alliance Defending Freedom,,,,14618.27,Downballot
National Redistricting Action Fund,,,,14543.48,Downballot
The Committee to Protect Health Care,,,,14514.18,Downballot
Indigo PAC,C00909465,,,14066.8,Downballot
Clearwater Energy Alliance,,,,13688.99,Downballot
Health Justice Action Fund,,,,13678.0,Downballot
Florida House Republican Campaign Committee,,,,13599.6,Governor
North Star Dawn PAC,C00935973,,,13546.470000000001,Senate
Rolling Sea Action Fund,C00844530,,,13489.98,Senate
Economic Security Project Action,C90021536,,,13179.85,Downballot
New York State Firearms Association,,,,12769.51,Downballot
Democratic Party Of Georgia,,,,12699.96,Downballot
Vermont National Education Association,,,,12263.22,Downballot
The American Centerpoint PAC,C00941518,,,12000.03,House
Conservatives for Law Enforcement and Border Security PAC,,,,11938.99,Downballot
American Future PAC,,,,11900.02,House
Mississippi Voter Alliance,,,,11835.04,Downballot
Texas Path to Freedom PAC,C00921775,,,11703.58,House
California Hotel & Lodging Association,,,,11000.01,Downballot
Action for Health,,,,10947.02,Downballot
California Nurses Association,,,,10854.64,Downballot
Wilderness Society Action Fund,C90018177,,,10833.24,Downballot
Rental Housing Association of Washington,,,,10825.92,Downballot
Pennsylvania Firearms Association,,,,10815.27,Downballot
Community Action for Responsible Housing,,,,10587.98,Downballot
Palmetto State Freedom Alliance,,,,10584.58,Downballot
American Heart Association,,,,10503.08,Downballot
Delaware Hospital Association,,,,10358.96,Downballot
Cooperative Of American Physicians Independent Expenditure Committee,C00492116,,,10300.15,House
Get Illinois Right PAC,,,,10236.03,Downballot
The Good Party,,,,10161.41,Downballot
Doyle for Harris County Democratic Party Chair,,,,10020.0,Downballot
Oregon Restaurant and Lodging Association,,,,10017.04,Downballot
Independent Voter PAC,,,,9843.12,Downballot
Clearpath Action Inc,,,,9699.97,Senate
Riders Alliance,,,,9694.09,Downballot
Democratic Executive Committee Of Florida,C00005561,,,9597.97,Downballot
314 Action,C90017781,,,9451.26,Downballot
Oregon Beverage PAC,,,,9401.84,Downballot
Texas Realtors PAC,,,,9091.88,Downballot
Live Action,,,,8961.19,Downballot
Fairfax County Republican Committee,C00277335,,,8579.99,Downballot
State Government Leadership Foundation,,,,8558.9,Downballot
Think Big PAC,,,,8507.8,Downballot
CASA in Action,C70006481,,,8459.99,Downballot
School Freedom Fund,C00794396,,,8415.63,Downballot
First Amendment Alliance Educational Fund,,,,8399.76,Downballot
Commonwealth Action,,,,8390.55,Governor
Move On PAC,,,,8343.16,Downballot
Concord Coalition Action Fund,,,,8170.69,Downballot
National Black Empowerment Action Fund,,,,8001.07,House
Latino Victory Fund,C00562777,,,7999.95,House
Tennessee Education Association,,,,7958.09,Downballot
American Diabetes Association,,,,7737.49,Downballot
American Firearms Association,C00872432,,,7701.44,Downballot
Civil Service Employees Association-CSEA,,,,7101.61,Downballot
Defending Main Street Super PAC,C00540203,,,7000.07,House
California Grocers Association,,,,6956.04,Downballot
American Federation for Children Action Fund,,,,6905.08,Downballot
National Apartment Association PAC,,,,6898.99,Downballot
Alliance for Patient Access,,,,6854.93,Downballot
New York State Firearms Association,,,,6718.88,Governor
American Job Creation Alliance,,,,6464.98,House
Hispanic Leadership Trust,C00809970,,,6347.22,House
American Gaming Association PAC,,,,6198.01,Downballot
Maremoto Action,,,,6149.98,House
Kentucky Reproductive Freedom Fund,,,,6135.92,Downballot
Oregon Association of Hospitals and Health Systems,,,,6038.97,Downballot
Maryland Democratic Senate Caucus Committee,,,,6013.0,Downballot
LoneStar Liberty PAC,C00901223,,,6001.4800000000005,Senate
TX Democratic Party,C00099267,,,5913.39,Downballot
Tobacco Free Kids Action Fund,,,,5825.47,Senate
Mountaineer Conservative Action,,,,5695.5599999999995,Downballot
Everytown For Gun Safety Action Fund,C90015025,,,5673.64,Downballot
Michigan Parent Alliance for Safe Schools,,,,5673.01,Downballot
Arkansas Black Mayors Association,,,,5628.14,Downballot
Common Ground PAC,C00538835,,,5561.36,Downballot
New Jersey Education Association,,,,5531.75,House
Democratic Governors Association (DGA),,,,5452.72,Governor
5th Congressional District Of Virginia Republican Committee,C00454751,,,5289.97,Downballot
All Out Action Fund,,,,5202.41,Downballot
National Association for Gun Rights,,,,5169.49,House
Washington Alliance for a Competitive Economy,,,,5159.94,Downballot
Alliance for Automotive Innovation,,,,5081.02,Downballot
Working Michigan PAC,,,,4999.96,Downballot
Los Angeles County Democratic Party,,,,4969.02,Downballot
Defend US PAC,C00634261,,,4877.48,Senate
Campaign for Democracy PAC,C00836320,,,4739.56,Governor
The Alliance for Solar Choice,,,,4675.02,Downballot
Louisiana Judicial Integrity PAC,,,,4634.98,Downballot
San Antonio Police Officer Association PAC,,,,4606.56,Downballot
Philly First Super PAC,C00947028,,,4500.0,House
American Prosperity Alliance,,,,4496.5,House
Indiana Senate Majority Campaign Committee,,,,4427.01,Downballot
Farm Team PAC,,,,4423.02,Downballot
Nassau County Republican Committee,C00572305,,,4400.06,Downballot
San Francisco Deputy Sheriff's Association,,,,4383.49,Downballot
The Alliance for Secure AI,,,,4221.08,Downballot
Master Builders Association of King and Snohomish Counties,,,,4016.04,Downballot
St.George PAC,,,,3955.0,Downballot
End Predator Abuse PAC,C00947317,,,3909.22,House
Defend US PAC,C00634261,,,3833.48,Downballot
Power CA Action,,,,3750.95,Downballot
Greater Georgia PAC,,,,3603.11,Downballot
Virginia Hospital & Healthcare Association,,,,3514.0,Downballot
Colorado Progress and Prosperity Fund,,,,3413.19,Downballot
Michigan Firearms Association,,,,3392.84,Downballot
ExcelinEd in Action,,,,3347.05,Downballot
Minnesota Cable Communications Association,,,,3333.96,Downballot
Southern California Fund,C00361410,,,3286.08,Downballot
Citizens Action Coalition,,,,3247.65,Downballot
Homes PAC,,,,3195.99,Downballot
American Conservative Fund,C00927186,,,3059.0,Downballot
Committee to Elect House Republicans,,,,3035.2,Downballot
Webb County Deputy Sheriff's Association,,,,3012.94,Downballot
Earthjustice Action,C90022781,,,2965.2799999999997,Downballot
Community Catalyst Action Fund,,,,2791.28,Downballot
Pennsylvania Taverns and Players Association,,,,2724.67,Downballot
Fairfax County Democratic Committee,,,,2650.69,Downballot
Michigan Health and Hospital Association,,,,2638.02,Downballot
Take Action MN,,,,2541.98,Downballot
ACLU California Action,,,,2401.98,Downballot
New York State Nurses Association,,,,2401.92,Downballot
Public First Action,,,,2341.29,Governor
Illinois Immigrant Action,C90012600,,,2290.96,Downballot
Evergreen Action,,,,2269.86,Downballot
