Committee_Id,Committee_Name,Link_Image,Sponsor_Name,Cash_on_Hand,Coverage_End_Date,Total_Disbursement,Total_Receipt
"C00937698","SPICY PETE'S LEADERSHIP FUND","http://docquery.fec.gov/cgi-bin/fecimg/?C00937698","","4799.7","31-MAR-26","200.3","5000"
"C00455717","FREE STATE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00455717","","2093628.18","31-MAR-26","352710.7","743425.6"
"C00937508","PROTECT AMERICA","http://docquery.fec.gov/cgi-bin/fecimg/?C00937508","","44951.12","31-MAR-26","10140","55091.1"
"C00914283","SQUARE DEAL PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00914283","RILEY, JOSH","98668.31","31-MAR-26","49049.9","147718.2"
"C00542027","BIG SKY OPPORTUNITY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00542027","","621131.49","31-MAR-26","659868.6","722583.3"
"C00900886","AG PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00900886","GRAY, ADAM","10109.15","31-MAR-26","44490.9","54600"
"C00770297","BAKER PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00770297","","145055.72","31-MAR-26","277130.3","311611.1"
"C00567545","BOOTS POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00567545","","422677.26","31-MAR-26","708051.6","824340.2"
"C00399196","BUILDING RELATIONSHIPS IN DIVERSE GEOGRAPHIC ENVIRONMENTS PAC (BRIDGE PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00399196","CLYBURN, JAMES E","387179.66","31-MAR-26","433059.4","554681.8"
"C00927269","GOOD NEWS PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00927269","STELSON, JANELLE","12951.26","31-MAR-26","378.9","13330.2"
"C00921551","OVER THE TARGET PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00921551","DESPAIN, MONIQUE","82207.2","31-MAR-26","13700","95907.2"
"C00834515","PAC A PUNCH","http://docquery.fec.gov/cgi-bin/fecimg/?C00834515","VASQUEZ, GABRIEL","25759.44","31-MAR-26","29376.8","55100"
"C00806240","PROTECTING DEMOCRACY","http://docquery.fec.gov/cgi-bin/fecimg/?C00806240","CHERFILUS-MCCORMICK, SHEILA","8578.02","31-MAR-26","0","0"
"C00571976","THE PETER NORBECK LEADERSHIP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00571976","ROUNDS, MIKE","571910.16","31-MAR-26","438779.3","678726.1"
"C00827675","TRIDENT POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00827675","CRANE, ELI","17535.4","31-MAR-26","9050","24099"
"C00687343","ALL HANDS POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00687343","","114820.41","31-MAR-26","44821.5","104200.8"
"C00765644","BIG IDEAS CREATE EXCELLENCE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00765644","","24215.23","31-MAR-26","197817.6","189505.8"
"C00589309","BLUE MOMENTUM PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00589309","LIEU, TED","46018.76","31-MAR-26","258970.9","236261.3"
"C00771238","DEFEND THE DREAM","http://docquery.fec.gov/cgi-bin/fecimg/?C00771238","PADILLA, ALEX","210860.7","31-MAR-26","1034323.8","1043733.3"
"C00757922","EXPECT MORE LEADERSHIP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00757922","","55298.03","31-MAR-26","211501.8","217906.9"
"C00850610","MR PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00850610","ROGERS, MICHAEL","134900.52","31-MAR-26","111982.7","188912.8"
"C00878934","ON THE MOVE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00878934","SIMON, LATEEFAH","15061.39","31-MAR-26","95915.8","67328.8"
"C00551853","OORAH! POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00551853","","491146.43","31-MAR-26","872265.5","1155223"
"C00846071","STORM PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00846071","SORENSEN, ERIC","24940.89","31-MAR-26","86052.1","92292.2"
"C00936617","FIGHTING FIRST","http://docquery.fec.gov/cgi-bin/fecimg/?C00936617","BUCKHOUT, LAURIE","0","31-MAR-26","0","0"
"C00924696","BATTLE-PROVEN LEADERSHIP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00924696","GREEN, JENNIFER-RUTH","0","15-APR-26","1758.1","1758.1"
"C00649772","REVIVING AMERICAN JOBS AGAIN PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00649772","KRISHNAMOORTHI, S. RAJA","375788.01","31-MAR-26","780609.7","1020006.9"
"C00798025","CONSERVATIVE LEADERSHIP IN ELECTIONS PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00798025","CLINE, BENJAMIN","56500.95","31-MAR-26","34660.6","78000"
"C00936120","FIRE-FROG PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00936120","","0","31-MAR-26","0","0"
"C00936039","FIRST AND TEN","http://docquery.fec.gov/cgi-bin/fecimg/?C00936039","TAFOYA, MICHELE","54221.69","31-MAR-26","100.8","54322.5"
"C00895664","KEEP INTEGRITY MEANINGFUL PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00895664","FARINGTON, KIM","0","31-MAR-26","0","0"
"C00406553","PROGRESSIVE VOTERS OF AMERICA","http://docquery.fec.gov/cgi-bin/fecimg/?C00406553","SANDERS, BERNARD","131238.69","31-MAR-26","122922.9","241857.2"
"C00886234","SECURE HOMELAND REBUILD ECONOMY VOTE & EDUCATE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00886234","","15259.95","31-MAR-26","40255.5","48954.2"
"C00817338","MVL PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00817338","LAWLER, MICHAEL VINCENT","58516.27","31-MAR-26","424500.7","420178.7"
"C00572438","MI14 PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00572438","LAWRENCE, BRENDA","15670.74","31-MAR-26","5638.4","10000"
"C00818328","PAC FOR NEW LEADERSHIP","http://docquery.fec.gov/cgi-bin/fecimg/?C00818328","","23203.21","31-MAR-26","68630.3","83465.8"
"C00370122","COMMITTEE FOR A DEMOCRATIC FUTURE","http://docquery.fec.gov/cgi-bin/fecimg/?C00370122","DELAURO, ROSA","65128.27","31-MAR-26","165868.8","209500"
"C00707232","BLUE NEVADA PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00707232","","13649.26","31-MAR-26","162866.6","163635"
"C00831545","CACHE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00831545","","47248.86","31-MAR-26","29444.1","51596.7"
"C00884692","DEMOCRACY & FREEDOM PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00884692","LANDSMAN, GREG","38660.51","31-MAR-26","29696","60100"
"C00934737","OHIO CREW PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00934737","","0","31-MAR-26","0","0"
"C00827881","CIRCLE THE WAGONS PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00827881","LANGWORTHY, NICK","75161.42","31-MAR-26","103175.8","169834.2"
"C00450577","DEMOCRATS TIME IN NEVADA","http://docquery.fec.gov/cgi-bin/fecimg/?C00450577","TITUS, DINA","108437.26","31-MAR-26","26440.9","48100"
"C00927764","NORMAL PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00927764","GILLEN, LAURA","19811.83","31-MAR-26","27188.2","47000"
